dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
sand-colored,-0.38158672957171436,-0.3803367750330926,-0.4467044672037881,-0.3070115741651749,-0.42777503740542255,-0.43398096583588885,-0.46697049664354373,-0.415900225918568,-0.37053452295629485,-0.3546026179317645,-0.3897739352603222,-0.3773562131778818
green,-0.18322131247078266,-0.07818028010858336,-0.12364738954159726,-0.07325788899848651,-0.14601575585576398,-0.11703308493384545,-0.1826507397988535,-0.2159311460024631,-0.1677437642303481,-0.17133647835637333,-0.19094994189570325,-0.14432417953445476
bathroom-/wetness-related,-0.38739210929433354,-0.4142129266919332,-0.37895564778611424,-0.3679545824549568,-0.3792770066837128,-0.3549289459558531,-0.3582239432245806,-0.3484917560299088,-0.3234412942155611,-0.3151526073562425,-0.2558972022128323,-0.10168367656250332
yellow,-0.37638825687671407,-0.33978401976227546,-0.3914186782706841,-0.32746453808187614,-0.35221476144401764,-0.3407593696216813,-0.3073284085322867,-0.3209850172864306,-0.26283389402461244,-0.3038741907967335,-0.335123094424326,-0.20427644414001356
heat-/fire-/light-related,-0.3168872269076215,-0.29373960130548316,-0.3020520419154,-0.2943804177055951,-0.2947955306904071,-0.33157375089471697,-0.2714846219167748,-0.2828773058976428,-0.25910989899260883,-0.19889998979222967,-0.1702170417833393,-0.05377023296847461
beams-/mesh-related,-0.41546864639292225,-0.3633918503561906,-0.3286432955751011,-0.3236117403937362,-0.2787600869620106,-0.24566057286491105,-0.2679481282401379,-0.2698510599162316,-0.21677948595305474,-0.30013587669889286,-0.33451296570117206,-0.27209426098589207
foot-/walking-related,-0.3557448340981493,-0.35630384888625977,-0.34778794647892775,-0.3502281778931422,-0.31450811478799157,-0.30174434144035245,-0.3304302929337426,-0.32015839907286203,-0.27595763556838215,-0.11349190179932211,-0.07214100757883912,-0.016977324513664627
box-related/container,-0.4355310701560531,-0.4136079306355269,-0.40275968315049093,-0.3845524847260351,-0.31671499256379687,-0.3028299317747951,-0.31154167863034044,-0.2914887365919858,-0.264937821468616,-0.2522012495079129,-0.2996427772175658,-0.24553258648409315
stick-shaped/container,-0.3774138867783523,-0.40020291031578137,-0.4008885808523628,-0.40405146649472035,-0.4125539452520306,-0.3552965677409745,-0.3211660994841574,-0.31576527963507917,-0.3526350829543321,-0.28632548491831145,-0.30514673495392475,-0.16444162540526674
head-related,-0.36095264576991926,-0.34358860194458907,-0.36287674852158003,-0.3224053724308289,-0.3372589068527465,-0.29743483662649495,-0.25905706559924657,-0.2638522848256426,-0.23948840687132145,-0.08335020916574076,-0.10084259023993858,-0.026062722351831935
upright/elongated/volumous,-0.428288010818608,-0.4334549715461573,-0.3384300421151216,-0.3844516473096642,-0.30500337046026593,-0.3029402142287374,-0.2864644094132647,-0.28762732863284435,-0.2843925142060604,-0.25877763087999317,-0.2320863607048067,-0.20908292187348465
pointed/spiky,-0.3921012260370502,-0.4120621670852058,-0.37146347599659313,-0.35142823422496594,-0.3711667433381127,-0.3569526105878045,-0.3690115477861806,-0.36234776385028855,-0.3277746108021098,-0.2951926262493221,-0.2835259693564194,-0.2579698160304993
child-/toy-related/cute,-0.3703534994093214,-0.38003352021610515,-0.3670674578372899,-0.381573630985941,-0.3662353570753776,-0.35157955906051974,-0.359179612408729,-0.34166918018884096,-0.2811388710403586,-0.2838281652687591,-0.15735136460410337,-0.17856591822175272
farm-related/historical,-0.42271026878593587,-0.397415792019141,-0.3689806889029581,-0.37717910659801546,-0.3417144930964482,-0.34263163527508556,-0.3517932692891468,-0.337573772866435,-0.32382960427465024,-0.27537499575566926,-0.23146716233400588,-0.1831175628255819
seeing-related,-0.37583223906434804,-0.3881489777908318,-0.35088487416806213,-0.35691110239308643,-0.3667424087653246,-0.3590222322369787,-0.33116590152738645,-0.33184908767234567,-0.3273094006708317,-0.3102797145251106,-0.24003743681815015,-0.2226266918327573
medicine-/health-related,-0.37264304898714795,-0.3900240299877191,-0.35152487471760585,-0.3367260075700804,-0.4006252499606344,-0.35558200643147986,-0.3405401473024958,-0.3417022585666045,-0.33979971868919434,-0.324793729331494,-0.2721030725986271,-0.1245792579970022
sweet / dessert-related,-0.36424744397352127,-0.372104010520675,-0.35758863117215056,-0.3636836790156832,-0.3497100563542377,-0.3386707423595823,-0.30558562178778814,-0.3131782711218074,-0.3297568951446219,-0.28351056346255676,-0.1977024417342259,-0.1589740287052126
orange,-0.34062415143100355,-0.2607122434381326,-0.34952453045277543,-0.35318630636015724,-0.28372558909962087,-0.2941321221439477,-0.272113222262117,-0.3301219379781719,-0.3278144052382985,-0.35496613152254963,-0.34431828763220396,-0.2917597230443121
thin/flat/wrapping,-0.34855750183261613,-0.35534546005420675,-0.355010504334895,-0.3647172075404066,-0.36527131082403286,-0.335056740135828,-0.32188237975046907,-0.3438337139498542,-0.3038963824092351,-0.2574757175194631,-0.23474000556267427,-0.20800457612273204
cylindrical/conical/cushioning,-0.3979643837194766,-0.41257816334386854,-0.41636608368901884,-0.37184407314382795,-0.3862540920953459,-0.3720815399536701,-0.34110891863325565,-0.35247110207802934,-0.3387589432542295,-0.29554313328838666,-0.3483808903055765,-0.28211117184053625
coldness-related/winter-related,-0.3033505539303001,-0.31481717130753983,-0.28543089673928757,-0.2946569848030429,-0.3108893214732882,-0.28874884483208274,-0.2872782926914148,-0.261816303382417,-0.2886905681349554,-0.1836084822220272,-0.19616291208067071,-0.20099554407419973
measurement-related/numbers-related,-0.32326668579712425,-0.31115811928025905,-0.32524099675716567,-0.2890630197973274,-0.26783977785821445,-0.23325674580637124,-0.22865090833075352,-0.23364724973088968,-0.1968584508787008,-0.12827189434538422,-0.03182760356963854,-0.04060742262730943
fluffy/soft,-0.3632470936198162,-0.32753257530073787,-0.3548000143921095,-0.32976442802985395,-0.33270866481652694,-0.30098677392099793,-0.30248812802142555,-0.3145481540504056,-0.2784756527122576,-0.24147121725642262,-0.22625704843469796,-0.1859391753748929
masculine (stereotypical),-0.3386634276479199,-0.3432100307202972,-0.346727149964869,-0.34602257145126036,-0.36034649534319163,-0.3547640784154116,-0.32349392099320307,-0.3359257845667132,-0.35033798034106844,-0.3168061602656198,-0.31640330458429644,-0.16667531097762578
fine-grained pattern,-0.31902343301770153,-0.2479101936533621,-0.26276966122988554,-0.2376408236600851,-0.27837557752892805,-0.2663710183707333,-0.24969148659865192,-0.21253261706641635,-0.18076087417858355,-0.21063619781420018,-0.20171989808910684,-0.20084566837610396
