dimension,V1,V2,V4,IT
mineral,-4.9284184377630345,-4.5723757398703055,-3.0361997153659113,-1.5203088843575583
wood,-4.891849243967265,-4.902994965785648,-2.1897952732964225,-1.0761646906260887
metallic,-2.716835259656995,-2.8317367997579335,-1.7647700802998192,-0.922772338781932
fabric,-3.0394350444101024,-3.1970322020204947,-1.8038854034513707,-0.8373138223830852
white colour,-2.774294812352938,-3.848004602562657,-1.723061268672741,-0.6201753450089915
grainy,-4.00650733137816,-3.6972265568039795,-1.396890355081021,-0.6586138264238819
crystalline,-3.543310006512895,-2.3569827841912736,-1.2182292300487818,-0.537586979081838
"straw, fibrous",-1.9085664361766899,-2.22961246520628,-1.6737765240429319,-0.49444093379397325
cloudy,-2.2217204826927013,-2.458200134743894,-1.952726840997085,-0.7005306187016302
small,-2.612258603500791,-2.3432472517459355,-0.6261464182202092,-0.24568359386660554
"beige colour, tan colour",-3.8105123023843976,-2.538433646686315,-1.0912460553486705,-0.4591058950102127
viscous,-1.890823040554499,-1.6859352123070117,-0.97626142230151,-0.510938264571289
black colour,-1.0740885647382914,-1.6691857922258824,-0.950496328298712,-0.33839830553689665
brick,-1.7792107006311406,-2.168575089911172,-0.9015693711116537,-0.4686164334045029
swirly,-1.8292812829552192,-2.6593213785944374,-1.6850709603621068,-0.6376892202756246
maroon colour,-1.2853371718608528,-1.6719631050436923,-0.5613481296148781,-0.1812239205556987
"lines, long, tubular, vertical",-1.4701679017729377,-1.206869298546159,-0.7221813393839023,-0.13550353394807124
mesh,-1.6121581714076805,-2.290402086501347,-0.5996522322383886,-0.21791798918779293
yellow colour,-1.569977526128354,-0.5850438645526908,-0.26455888875321976,0.03536098287074463
multi-coloured,-1.7007464911405465,-1.5177949723904192,-0.3637094461936261,-0.05141520428929813
thin,-1.4101073201672985,-1.4893154977813716,-1.1359031909916153,-0.5130757620717474
bulbous,-1.496293721028378,-1.9112503469718627,-0.985944475763473,-0.17510180696742683
green colour,-0.3863111177475491,-0.8540926079586031,0.03661169597322489,-0.11428341066722103
blue colour,-0.8041286706465274,-0.7705339415283217,-0.2122938067878457,-0.20237768478020213
shell,-1.6900605903756998,-0.7560351831397307,-0.5696066994770941,-0.38968580519761176
"gemstone, smooth",-1.4464889602496367,-0.7511146752699294,-0.6531123001831061,-0.15636107696028478
sheet,-1.6358942909601808,-0.7035313467254858,-0.6612723431047183,-0.38797186463111477
hair,-1.6797212423249706,-1.6678388128306403,-1.2926728646518777,-0.3920970124960623
spongy,-1.8071494127153618,-1.49946300633217,-0.8001686020230043,-0.4364082571291197
golden,-2.327798118247391,-1.4067471081221683,-0.8574902431258102,-0.4060696936426442
red colour,-0.3737522238461988,-0.5400156510378618,-0.15183101091796702,0.10000430837134622
"round, smooth",-0.8122673113555667,-1.2383924498870322,-0.8598048741513744,-0.3210226621515999
cream colour,-0.9890193711361832,-1.3493131044169604,-1.0510614643493263,-0.3331622017287097
bumpy,-1.5068200936566956,-1.5964757266482201,-0.9194235399456971,-0.4817727148170421
hot,-0.7510456614178052,-0.5606794225331702,-0.2363078359311166,-0.04363092671084279
turquoise colour,-0.6440159941378159,-0.8620791363507558,-0.541856866024748,-0.17364678379507903
