dimension,Raw
mineral,-42.03782738773424
wood,-119.00531323040703
metallic,-36.71582185702898
fabric,-97.4367326722388
white colour,-29.612421812427947
grainy,-74.67245700985393
crystalline,-69.57568173781593
"straw, fibrous",-47.99573184333212
cloudy,-64.08292006981358
small,-23.531895199308583
"beige colour, tan colour",-33.79249013790859
viscous,-56.84672612624288
black colour,-39.46597686392498
brick,-71.74364533072522
swirly,-74.03950757526216
maroon colour,-223.4259774859034
"lines, long, tubular, vertical",-43.64466654500872
mesh,-23.855665827369382
yellow colour,-50.856632591350554
multi-coloured,-33.41940969043863
thin,-80.55563998480075
bulbous,-78.19902781180522
green colour,-92.7897065185227
blue colour,-34.94202191417794
shell,-93.87490658015507
"gemstone, smooth",-137.8749074117208
sheet,-193.68249473968967
hair,-206.63493977932302
spongy,-352.3190181742616
golden,-40.86421770902875
red colour,-69.75108900077649
"round, smooth",-211.67019056177946
cream colour,-221.4837506349805
bumpy,-110.59348621835595
hot,-126.46198730190027
turquoise colour,-158.51327158877612
