dimension,Raw
made of metal / artificial / hard,-29.78058129061452
food-related / eating-related / kitchen-related,-22.383076815373123
animal-related / organic,-24.455364093902475
clothing-related / fabric / covering,-28.27025753785025
furniture-related / household-related / artifact,-36.97606111685722
plant-related / green,-16.805162604714628
outdoors-related,-18.248558087335773
transportation / motorized / dynamic,-12.758158752033413
wood-related / brownish,-31.36478973600772
body part-related,-30.064007492187194
colorful,-20.70935146697034
valuable / special occasion-related,-27.6558579184333
electronic / technology,-24.91037532370216
sport-related / recreational activity-related,-23.32904818909696
disc-shaped / round,-31.140244641297066
tool-related,-34.941940954901334
many small things / course pattern,-15.440548422207371
paper-related / thin / flat / text-related,-33.492892228121775
fluid-related / drink-related,-29.13444907659484
long / thin,-27.593254611858264
water-related / blue,-22.703091887299028
powdery / fine-scale pattern,-22.515564370439577
red,-16.57730319898181
feminine (stereotypically) / decorative,-28.12798991487484
bathroom-related / sanitary,-40.39608147707871
black / noble,-36.8669758819406
weapon / danger-related / violence,-24.002186116608776
musical instrument-related / noise-related,-30.418298800591778
sky-related / flying-related / floating-related,-36.08311503235736
spherical / ellipsoid / rounded / voluminous,-42.77201996317577
repetitive,-17.025571397349093
flat / patterned,-27.997095812325007
white,-36.843964956107136
thin / flat,-34.67377670448711
disgusting / bugs,-45.41999178881472
string-related,-31.13482586021674
arms/legs/skin-related,-51.87966592807468
shiny / transparent,-31.611095560587295
construction-related / physical work-related,-24.012097643891703
fire-related / heat-related,-64.15738535354906
head-related / face-related,-59.040379444972245
beams-related,-23.93339962734883
seating-related / put things on top,-21.95195411465347
container-related / hollow,-34.01459833985421
child-related / toy-related,-36.822874742826755
medicine-related,-47.82416193149881
has grating,-24.314816825829805
handicraft-related,-23.56653001058259
cylindrical / conical,-51.307606316387236
